id_edicion_text,numero_edicion_number,mes_edicion_option,seccion_electoral_text,ambito,clasificacion_spt,spt,arq_dominante,problematica_principal,tema_sugerido,ejemplares_planeados_number,canal_distribucion_option
ED-2026-01,1,Febrero 2026,2461,Urbano,Mantenimiento,33.96,U1,Economía y empleo,Economía local: apoyo a productores y comercio en Zacatlán,65,Reunión Multinivel
ED-2026-01,1,Febrero 2026,2463,Urbano,Mantenimiento,44.33,U1,Inseguridad,Seguridad comunitaria: modelo de vigilancia vecinal y alumbrado,64,Acción directa
ED-2026-01,1,Febrero 2026,2465,Urbano,Mantenimiento,41.42,U1,Calles y pavimento,Infraestructura: programa de pavimentación y mantenimiento vial,79,Acción directa
ED-2026-01,1,Febrero 2026,2467,Urbano,Consolidacion,50.88,U1,Economía y empleo,Economía local: apoyo a productores y comercio en Zacatlán,139,Acción directa
ED-2026-01,1,Febrero 2026,2470,Urbano,Consolidacion,49.06,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,131,Brigadas
ED-2026-01,1,Febrero 2026,2471,Rural Marginal,Prioritaria,71.0,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,216,Brigadas
ED-2026-01,1,Febrero 2026,2473,Urbano,Consolidacion,51.91,R1,Inseguridad,Seguridad comunitaria: modelo de vigilancia vecinal y alumbrado,100,Acción directa
ED-2026-01,1,Febrero 2026,2474,Urbano,Consolidacion,41.66,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,82,Brigadas
ED-2026-01,1,Febrero 2026,2475,Urbano,Consolidacion,48.45,R0,Calles y pavimento,Infraestructura: programa de pavimentación y mantenimiento vial,119,Acción directa
ED-2026-01,1,Febrero 2026,2478,Urbano,Consolidacion,48.86,R1,Salud y campo,Salud rural: clínicas móviles y abasto de medicamentos en comunidades,107,Reunión Multinivel
ED-2026-01,1,Febrero 2026,2480,Urbano,Consolidacion,42.06,R0,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,96,Acción directa
ED-2026-01,1,Febrero 2026,2481,Urbano,Consolidacion,42.15,U1,Alumbrado público,Alumbrado: plan de modernización con LED en colonias urbanas,99,Acción directa
ED-2026-01,1,Febrero 2026,2482,Urbano,Mantenimiento,34.62,R1,Calles y pavimento,Infraestructura: programa de pavimentación y mantenimiento vial,47,Brigadas
ED-2026-01,1,Febrero 2026,2484,Urbano,Consolidacion,42.93,R0,Salud y campo,Salud rural: clínicas móviles y abasto de medicamentos en comunidades,120,Reunión Multinivel
ED-2026-01,1,Febrero 2026,2485,Rural Media,Consolidacion,49.76,R0,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,89,Acción directa
ED-2026-01,1,Febrero 2026,2486,Urbano,Prioritaria,71.5,R1,Inseguridad,Seguridad comunitaria: modelo de vigilancia vecinal y alumbrado,201,Reunión Multinivel
ED-2026-01,1,Febrero 2026,2488,Rural Marginal,Prioritaria,70.7,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,201,Reunión Multinivel
ED-2026-01,1,Febrero 2026,2489,Rural Marginal,Prioritaria,70.8,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,242,Reunión Multinivel
ED-2026-01,1,Febrero 2026,2727,Urbano,Consolidacion,42.52,U1,Economía y empleo,Economía local: apoyo a productores y comercio en Zacatlán,120,Brigadas
ED-2026-01,1,Febrero 2026,2809,Rural Media,Consolidacion,54.67,R0,Salud y campo,Salud rural: clínicas móviles y abasto de medicamentos en comunidades,90,Reunión Multinivel
ED-2026-01,1,Febrero 2026,2895,Rural Media,Mantenimiento,37.42,R0,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,74,Brigadas
ED-2026-02,2,Marzo 2026,2461,Urbano,Mantenimiento,33.96,U1,Economía y empleo,Economía local: apoyo a productores y comercio en Zacatlán,56,Reunión Multinivel
ED-2026-02,2,Marzo 2026,2463,Urbano,Mantenimiento,44.33,U1,Inseguridad,Seguridad comunitaria: modelo de vigilancia vecinal y alumbrado,78,Acción directa
ED-2026-02,2,Marzo 2026,2465,Urbano,Mantenimiento,41.42,U1,Calles y pavimento,Infraestructura: programa de pavimentación y mantenimiento vial,40,Acción directa
ED-2026-02,2,Marzo 2026,2467,Urbano,Consolidacion,50.88,U1,Economía y empleo,Economía local: apoyo a productores y comercio en Zacatlán,133,Acción directa
ED-2026-02,2,Marzo 2026,2470,Urbano,Consolidacion,49.06,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,94,Acción directa
ED-2026-02,2,Marzo 2026,2471,Rural Marginal,Prioritaria,71.0,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,183,Acción directa
ED-2026-02,2,Marzo 2026,2473,Urbano,Consolidacion,51.91,R1,Inseguridad,Seguridad comunitaria: modelo de vigilancia vecinal y alumbrado,82,Brigadas
ED-2026-02,2,Marzo 2026,2474,Urbano,Consolidacion,41.66,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,127,Acción directa
ED-2026-02,2,Marzo 2026,2475,Urbano,Consolidacion,48.45,R0,Calles y pavimento,Infraestructura: programa de pavimentación y mantenimiento vial,130,Reunión Multinivel
ED-2026-02,2,Marzo 2026,2478,Urbano,Consolidacion,48.86,R1,Salud y campo,Salud rural: clínicas móviles y abasto de medicamentos en comunidades,129,Reunión Multinivel
ED-2026-02,2,Marzo 2026,2480,Urbano,Consolidacion,42.06,R0,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,139,Acción directa
ED-2026-02,2,Marzo 2026,2481,Urbano,Consolidacion,42.15,U1,Alumbrado público,Alumbrado: plan de modernización con LED en colonias urbanas,101,Brigadas
ED-2026-02,2,Marzo 2026,2482,Urbano,Mantenimiento,34.62,R1,Calles y pavimento,Infraestructura: programa de pavimentación y mantenimiento vial,71,Brigadas
ED-2026-02,2,Marzo 2026,2484,Urbano,Consolidacion,42.93,R0,Salud y campo,Salud rural: clínicas móviles y abasto de medicamentos en comunidades,120,Reunión Multinivel
ED-2026-02,2,Marzo 2026,2485,Rural Media,Consolidacion,49.76,R0,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,123,Acción directa
ED-2026-02,2,Marzo 2026,2486,Urbano,Prioritaria,71.5,R1,Inseguridad,Seguridad comunitaria: modelo de vigilancia vecinal y alumbrado,249,Reunión Multinivel
ED-2026-02,2,Marzo 2026,2488,Rural Marginal,Prioritaria,70.7,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,234,Reunión Multinivel
ED-2026-02,2,Marzo 2026,2489,Rural Marginal,Prioritaria,70.8,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,218,Brigadas
ED-2026-02,2,Marzo 2026,2727,Urbano,Consolidacion,42.52,U1,Economía y empleo,Economía local: apoyo a productores y comercio en Zacatlán,91,Brigadas
ED-2026-02,2,Marzo 2026,2809,Rural Media,Consolidacion,54.67,R0,Salud y campo,Salud rural: clínicas móviles y abasto de medicamentos en comunidades,100,Reunión Multinivel
ED-2026-02,2,Marzo 2026,2895,Rural Media,Mantenimiento,37.42,R0,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,47,Brigadas
ED-2026-03,3,Abril 2026,2461,Urbano,Mantenimiento,33.96,U1,Economía y empleo,Economía local: apoyo a productores y comercio en Zacatlán,46,Brigadas
ED-2026-03,3,Abril 2026,2463,Urbano,Mantenimiento,44.33,U1,Inseguridad,Seguridad comunitaria: modelo de vigilancia vecinal y alumbrado,78,Brigadas
ED-2026-03,3,Abril 2026,2465,Urbano,Mantenimiento,41.42,U1,Calles y pavimento,Infraestructura: programa de pavimentación y mantenimiento vial,50,Brigadas
ED-2026-03,3,Abril 2026,2467,Urbano,Consolidacion,50.88,U1,Economía y empleo,Economía local: apoyo a productores y comercio en Zacatlán,127,Reunión Multinivel
ED-2026-03,3,Abril 2026,2470,Urbano,Consolidacion,49.06,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,85,Acción directa
ED-2026-03,3,Abril 2026,2471,Rural Marginal,Prioritaria,71.0,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,188,Brigadas
ED-2026-03,3,Abril 2026,2473,Urbano,Consolidacion,51.91,R1,Inseguridad,Seguridad comunitaria: modelo de vigilancia vecinal y alumbrado,81,Reunión Multinivel
ED-2026-03,3,Abril 2026,2474,Urbano,Consolidacion,41.66,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,117,Reunión Multinivel
